latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
38.32997,26.0069,318.81,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,293.87,2.06,N
38.32478,26.04408,306.66,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,294.93,1.88,N
38.32415,26.04864,307.93,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,294.8,0.8,N
38.32663,26.00606,331.12,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,294.6,3.66,N
38.31742,26.04716,312.81,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,294.2,1.62,N
38.31406,26.04643,306.19,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,293.73,1.09,N
38.31007,26.05022,313.59,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,295.27,1.09,N
38.30797,26.04042,346.49,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,298.98,6.26,N
38.30671,26.04951,329.02,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,296.5,2.98,N
38.30461,26.0397,337.68,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,298.11,6.26,N
38.30526,26.03506,313.05,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,293.71,6.26,N
38.30384,26.02031,308.9,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,293.75,1.18,N
38.30062,26.04351,316.31,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,295.35,1.83,N
38.37289,24.06313,309.04,0.47,0.39,2025-06-24,0001,N21,nominal,2.0NRT,294.83,1.47,N
37.77109,27.43671,307.98,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,296.5,1.43,N
37.25322,30.44204,315.65,0.42,0.38,2025-06-24,0001,N21,nominal,2.0NRT,291.92,2.42,N
36.95211,31.04574,300.53,0.44,0.38,2025-06-24,0001,N21,nominal,2.0NRT,289.65,0.55,N
36.26128,33.72984,314.2,0.39,0.44,2025-06-24,0001,N21,nominal,2.0NRT,298.59,3.39,N
38.20295,15.26728,305.61,0.44,0.63,2025-06-24,0001,N21,nominal,2.0NRT,294.49,1.96,N
37.82246,13.52059,299.93,0.55,0.68,2025-06-24,0001,N21,nominal,2.0NRT,288.86,2,N
37.82228,13.52612,307.14,0.55,0.68,2025-06-24,0001,N21,nominal,2.0NRT,289.07,2.18,N
37.75367,15.01364,295.87,0.46,0.63,2025-06-24,0001,N21,nominal,2.0NRT,283.96,0.97,N
37.75352,15.01703,301.81,0.46,0.63,2025-06-24,0001,N21,nominal,2.0NRT,287.96,1.21,N
37.75337,15.02035,302.67,0.46,0.63,2025-06-24,0001,N21,nominal,2.0NRT,288.78,1.21,N
37.75322,15.02363,296.02,0.46,0.63,2025-06-24,0001,N21,nominal,2.0NRT,285.64,0.97,N
37.75279,15.03358,299.04,0.46,0.63,2025-06-24,0001,N21,nominal,2.0NRT,287.35,1.36,N
